instance,method,objective,lower_bound,path
1300 COL,dualized,42505.7,36412.7,[88;473;331;1237;172;1288;861;181;210;171;1232;1178;554;529;1053]
1300 NY,dualized,67883.9,67883.9,[1144;621;1054;875;477;1254;1117;1070;1093;1068;866;697;856;108;240;581;640;579;1235;1223;959;691;1271;1296]
1300 BAY,dualized,76715.8,76715.8,[1099;1150;1115;1018;1127;1116;1084;1288;1273;1158;520;989;414;424;1266;936;1160;1237;671;938;994;1093;939;826;1177]
1400 COL,dualized,42505.7,37971.9,[88;189;213;518;401;1386;406;1059;955;171;1232;528;479;1001;1053]
1400 BAY,dualized,79995.3,79995.3,[1177;1161;792;1370;502;860;503;1237;861;581;1148;963;1016;1267;1236;993;1332;1288;1361;1153;1243;1152;1381;1363;1323;1338]
1400 NY,dualized,67883.9,67883.9,[1144;722;1390;721;1243;1082;1117;1070;1093;1068;866;697;326;108;582;1220;1153;579;1235;1223;1206;1270;1271;1296]
1500 BAY,dualized,79379.7,75750.8,[1177;1161;1123;1093;994;582;671;1091;1235;850;1286;330;1045;859;1158;1332;1288;1469;1427;1443;1152;1381;1363;1323;1338]
1500 COL,dualized,42505.7,36209.5,[88;538;1238;947;1464;151;535;1278;1079;1179;1056;1263;1000;1001;1053]
1500 NY,dualized,66475.5,66475.5,[1144;1218;1267;517;1165;1082;1117;1070;1093;507;866;1445;856;108;910;360;1207;579;1235;1223;1469;1470;1296]
1600 BAY,dualized,81809.7,77994.7,[1329;1404;1330;1203;1152;1572;1451;1249;1487;1424;1457;859;732;731;577;559;936;1299;1577;1024;1258;1338;792;826;1545;1580]
1600 COL,dualized,42505.7,36541.9,[88;362;1535;1511;275;274;1200;359;1199;110;292;1178;309;1001;1053]
1600 NY,dualized,66475.5,66475.5,[1133;1390;1054;721;1551;1248;1108;1070;442;1068;866;1463;585;447;910;1223;324;1437;1240;1547;1554;1555;1307]
1700 BAY,dualized,70557.8,66436.8,[1456;1407;1640;1459;1579;1097;1269;1159;902;1639;457;850;577;414;989;1213;1158;1424;1265;1402;1366;1572;1627]
1700 NY,dualized,66475.5,66475.5,[1133;722;1190;721;477;1248;1108;1070;694;1068;866;1463;585;1193;396;1223;1208;1176;1240;1547;1554;1555;1307]
1700 COL,dualized,42505.7,34354.9,[88;189;331;1560;1032;1114;104;1156;184;357;383;774;1430;1398;1053]
1800 COL,dualized,42505.7,35852.0,[88;931;331;188;1708;1352;360;1031;358;1253;1249;774;696;1398;1053]
1800 NY,dualized,69098.3,69098.2,[1133;621;1190;1171;1281;1082;1772;1740;1720;1706;866;1463;1451;1484;1450;581;1788;1176;1240;1226;1554;1555;1756;1785]
1800 BAY,dualized,72086.6,66058.8,[1627;1379;1366;1249;1487;1301;1409;859;889;1776;888;438;553;1688;1740;770;502;1338;1215;1259;1177;1456;1788]
1900 COL,dualized,42505.7,36057.7,[88;362;1717;1285;1032;967;1005;1031;358;1822;1434;528;1000;1001;1053]
1900 NY,dualized,69098.2,69098.2,[1133;1390;1054;1171;618;617;1772;1070;1044;507;866;697;326;838;325;916;1683;1176;1240;1547;1850;1288;1756;1785]
1900 BAY,dualized,76729.6,74871.4,[1580;1641;1793;1303;1093;1372;1269;1159;562;457;559;888;1016;1401;1340;1457;1898;1363;1809;1526;1379;1727;1679;1834]
2000 BAY,dualized,67604.0,67334.7,[1712;1862;1915;1861;1869;1822;1533;1933;732;516;1707;438;1974;1160;902;671;490;1280;1370;1987;1979;1637;1864;1918]
2000 COL,dualized,49019.1,41670.4,[88;1499;1650;518;952;1619;1511;1686;1685;1557;209;1679;1301;1299;1573;1753;1883;1888;1917;1887]
2000 NY,dualized,66853.3,62783.6,[1792;1604;1746;576;1982;1204;1481;729;1434;686;769;1490;1694;1783;1661;1858;1394;776;1787;1319;739;1741;1950;1973]
2100 BAY,dualized,72250.2,68091.9,[1788;1456;1177;1259;939;862;760;860;503;1692;861;936;595;424;516;732;520;1962;1965;1913;2018;1948;1835;1627;2038]
2100 COL,dualized,43998.7,35697.2,[88;473;1987;835;172;274;775;1477;1786;1163;658;1984;479;2012;1985;2013]
2100 NY,dualized,123257.0,123257.0,[1785;1756;1288;1850;1226;1240;1437;1905;1931;325;392;1828;1463;866;855;1044;1070;1108;617;618;517;646;621;1612;1599;1582;1569;2091;1553;1327;764;1434;1974]
2200 BAY,dualized,80585.3,76415.1,[1580;2029;1162;939;1900;760;1411;1577;902;1639;1212;2122;1827;731;1621;1340;1845;1898;2171;1915;1890;1572;2127;2073;1834;2179]
2200 COL,dualized,48962.9,42350.8,[88;1297;1353;188;1964;1635;2018;628;1487;591;338;532;370;2006;1997;2033;2153]
2200 NY,dualized,72476.8,57833.7,[1785;1617;1823;1259;1538;692;1230;1738;1441;1834;966;1078;1366;731;1946;1799;1585;317;1323;1432;1326;1677;1954;1974]
2300 COL,dualized,50172.5,41491.6,[88;1395;331;1045;687;248;973;1797;1558;957;1863;2231;2294;1423;1410;2033;2299;2272]
2300 BAY,dualized,77192.1,74781.4,[1788;1456;1177;1259;1578;771;825;938;995;2089;2027;2147;595;424;1937;889;2242;993;2137;2087;2233;2178;2040;2070;2276;2300]
2300 NY,dualized,123257.0,83408.0,[1785;1756;1288;1554;1806;1240;1807;640;360;1450;392;326;697;866;507;1044;1070;1108;2209;1237;875;1190;1631;2262;1599;728;1798;1092;2212;2224;2131;2141;1974]
2400 BAY,dualized,77192.1,73583.9,[1788;1956;1177;2090;792;970;760;582;671;2089;2027;1737;2217;1272;1937;1401;1422;993;1898;1913;2233;1948;2129;2390;2276;2300]
2400 COL,dualized,50172.5,42130.9,[88;189;701;237;1281;2249;1200;599;482;61;338;2131;669;1423;1410;2216;2299;2272]
2400 NY,dualized,71974.3,71973.6,[1785;1307;1823;576;1883;1309;1230;1592;2350;2368;2380;2389;2318;1394;2061;2369;1952;2035;2319;2336;2353;1954;1974]
2500 BAY,dualized,73897.1,68949.1,[2222;1712;1862;1915;2193;1869;2299;1367;1586;2328;516;424;331;1973;791;2365;1721;1823;771;1334;1161;2486;2225;1918;2405]
2500 NY,dualized,71974.3,71816.8,[1792;1296;1066;1648;2405;1471;1959;2020;2373;2029;1570;2463;2112;1420;2278;2374;1969;2335;2316;2336;2358;1950;1973]
2500 COL,dualized,54468.6,41849.6,[88;189;249;661;464;1235;1281;1221;567;2280;590;946;2248;620;1300;2492;1755;2197;2029;2088]
